Stkcd,year,MA,Experience,Inside_Own,Insiders,Pay_Gap,Director_Pay,IO,Compensation,Female_Board,Gender_Diverse,Board_Size,Independence,Balance,Largest_Own,post2013,Tangibility,Leverage,Liquidity,Size,Asset_Growth,SA,Mean_Age,FCF,Adj_ROA,EBIT,ChairmanHoldsharesRatio,Growth,Productivity,Net_Loss,Ind_Leverage,CAPEX,R&D,StrategyKW,CompetitionKW
708,2025,0.0,1.0,0.0,0.0,13.001776414415213,14.800095250477415,89.6146,14.671966356136243,8.333333333333332,9.523809523809524,12.0,41.66666666666667,0.576101337874191,75.0519,1.0,7.884681801490529,60.53040454025969,7.954994869212569,25.433186766828268,-4.69,-3.9985,56.523809523809526,7061439441.371655,0.0344402999999999,6.16867981137098,0.0,-4.22,173076.106749677,0.0,3.095015235294118,0.4974833964134802,4602340893.54,73.0,7.0
713,2025,0.0,1.0,0.0,0.0,12.54618112016033,14.412532226426835,36.1269,13.792446618365725,22.22222222222222,25.0,9.0,33.33333333333333,1.9550950000000005,20.0,1.0,18.385965082170173,35.7738075959324,9.15766863670832,21.906762117530736,10.59,-4.748113,49.5925925925926,-16777145.242829,-0.0170292857142857,2.2432369775688383,0.0,-6.03,41584.83421629021,0.0,0.9304236666666666,4.3445564180500185,134720069.98,31.0,11.0
739,2025,0.0,1.0,0.0410658603942086,28.57142857142857,12.83494793606998,15.265554066248065,67.7189,14.311973530894427,14.285714285714285,6.666666666666667,7.0,42.85714285714285,3.4753586318988057,28.302,1.0,3.928378882475393,46.97243605969125,28.76593861219781,23.26714936825525,-0.3,-4.204518,55.0625,672010838.716993,0.046921290102389,9.05119924171607,0.02,4.77,146012.28361189802,0.0,0.8489369783393497,3.619649745481699,641471760.73,13.0,3.0
795,2025,0.0,1.0,0.0,0.0,12.834681304952548,13.928839243271277,53.484,13.928839243271277,10.0,11.11111111111111,10.0,50.0,1.2859125993965903,39.4757,1.0,5.750875597269515,34.55615756701668,18.056956639024527,22.14067960961516,-1.45,-4.235387,50.5,107174322.30898,0.0512245961538461,5.859839670177774,0.0,4.16,47205.191233791,0.0,1.754104821052631,4.717547587521255,194880481.61,48.0,3.0
815,2025,0.0,1.0,0.0,0.0,12.42229228177156,12.76540267835578,34.4839,13.032876210902792,0.0,8.333333333333332,7.0,42.85714285714285,2.760426556191682,20.8554,1.0,0.9592034339468332,46.13762679573631,12.765365793011505,21.64318178375716,-10.06,-4.174279,49.95,-418784378.950111,-0.248459487804878,-57.588456280754805,0.0,-15.71,-552677.6441414142,1.0,1.1787310555555552,1.7650047515756158,14305553.27,45.0,0.0
823,2025,0.0,1.0,0.0056470862717526,11.11111111111111,13.359883094663044,15.116573774721504,36.0428,14.283449557327792,0.0,7.6923076923076925,9.0,33.33333333333333,0.8200407176065703,30.3063,1.0,1.886686778727544,36.56726970759178,21.085528449806645,22.85348679029575,-0.35,-4.228533,50.88235294117647,263889337.550665,-0.0006833444055943,4.793742390697849,0.0,5.48,33593.29910770031,0.0,1.157242250460406,3.5450863382607563,285455495.81,21.0,3.0
915,2025,0.0,1.0,0.0015368571705839,0.0,15.438705901475675,15.777757953058517,40.2253,15.647051480537336,27.27272727272727,31.818181818181817,11.0,36.36363636363637,2.911444197433205,21.9963,1.0,4.860038330485231,10.515238710422889,42.968258000589074,22.318794784996008,-5.14,-4.397769,52.40909090909091,1036283079.589185,0.169962290102389,53.94442710841625,0.0,-14.08,571936.1567993178,0.0,0.8489369783393497,0.8850636437547132,97138886.51,18.0,5.0
970,2025,0.0,1.0,0.1904469560826429,36.36363636363637,13.424447490791144,14.97157381026806,38.2022,14.498607402670718,9.090909090909092,13.636363636363637,11.0,27.27272727272727,1.6957705945834831,23.3508,1.0,0.6013483052275409,26.2287540825967,23.74488108018368,23.060909258859947,-7.68,-4.138331,58.22727272727273,757826925.718637,-0.0291523444055943,0.5370738223898293,0.03,-19.23,4242.830199630314,0.0,1.157242250460406,2.075617397711821,134597362.52,12.0,10.0
975,2025,0.0,1.0,11.970222498653358,30.0,15.144315778291178,16.015841416919564,50.9966,15.490267936519016,10.0,12.5,10.0,30.0,1.0574622732936454,28.892,1.0,68.09739086714048,18.567429686244736,15.780373733237232,23.62408771656001,11.6,-4.091969,51.1875,2307399136.48452,0.0684213333333333,23.54109410774292,0.0,67.6,1340377.7032984004,0.0,1.1717570384615386,3.781199622049952,119570040.03,83.0,5.0
999,2025,0.0,1.0,0.1046623135197835,16.666666666666664,13.978189058063316,15.899043717547364,84.2139,14.881255243006766,16.666666666666664,25.0,18.0,44.44444444444444,0.6476125927360344,63.0014,1.0,10.698468944747832,36.98834686689687,12.51643238521558,24.41419250211232,-0.17,-3.98095,52.90625,5084862133.314427,0.060187290102389,16.545908552373266,0.02,11.63,188594.7423783136,0.0,0.8489369783393497,1.971139439439696,952976326.13,158.0,7.0
1207,2025,0.0,1.0,52.28295229926757,42.85714285714285,13.354241999990672,15.117662150971736,50.9431,14.152125641525236,0.0,7.142857142857142,7.0,57.14285714285714,0.5996629429498219,48.8938,1.0,7.411315110145833,31.769003091251985,26.74415159553879,21.742070174178583,17.69,-4.06017,51.5,448111233.169644,0.0685133866279069,13.009210625841622,42.8,18.21,338270.97028360044,0.0,1.266635704049844,2.04733569903272,80221137.76,17.0,1.0
1301,2025,0.0,1.0,38.28979491020437,57.14285714285714,13.217471516597804,14.893954152341855,41.2427,14.1474726391076,14.285714285714285,9.090909090909092,7.0,28.57142857142857,3.675247373155467,10.4498,1.0,3.2506517256962986,32.37700314656857,7.398162017799965,22.949494184390726,24.9,-3.784271,49.54545454545455,-170009246.130724,0.0817195961538461,20.75409989649424,36.53,19.1,210899.9043018868,0.0,1.754104821052631,9.365296198164264,175328078.54,21.0,17.0
1979,2025,0.0,1.0,0.0073879633408094,25.0,13.862072050011736,15.558342353568904,78.845,14.65858522750717,16.666666666666664,13.043478260869565,12.0,41.66666666666667,0.6551300937571911,50.8441,1.0,0.2738862724069356,66.6695521946586,11.66457916534518,27.48055725012596,-5.31,-3.841599,52.69565217391305,12750882277.78277,0.0248639659090909,6.165103100301357,0.0,2.25,84622.56368255186,0.0,3.4054799130434774,0.6628520567775685,213340000.0,81.0,5.0
2014,2025,0.0,1.0,1.6180968499123087,28.57142857142857,13.662747803411865,15.50800202553366,73.2123,14.504147583046333,14.285714285714285,13.043478260869565,14.0,35.714285714285715,3.7787535470691167,33.0907,1.0,2.480029219332636,38.88952340072714,25.775415515995714,22.1852290587894,10.53,-4.436238,53.91304347826087,310934472.731524,0.0717651016949152,14.893964092260113,0.39,4.34,199181.5337531699,0.0,1.1531525495495494,3.52349498439268,149142478.28,12.0,4.0
2056,2025,0.0,1.0,0.1355757634745449,14.285714285714285,13.111649040487125,14.71416671062662,67.2537,14.20504951552218,14.285714285714285,11.76470588235294,7.0,42.85714285714285,0.5429180774377432,50.5929,1.0,3.0861340862339914,57.58265607785293,37.06914387009005,23.91009553927569,14.23,-4.057981,52.1764705882353,919735484.79072,0.0470970063291139,10.540572740171031,0.13,-5.89,97081.06543624874,0.0,0.926965465986395,4.6652965210501165,721897500.0,25.0,16.0
2080,2025,0.0,1.0,0.0,0.0,13.79464436528289,15.069815194621214,66.3006,14.619125191550191,28.57142857142857,29.411764705882355,7.0,42.85714285714285,0.1840420728306196,60.2384,1.0,5.951886663260229,55.337556238370965,4.581463828685652,24.815352804253923,5.38,-3.824033,50.92857142857143,1800900653.031027,0.0100155961538461,6.662659930725567,0.0,-7.36,56342.39519669256,0.0,1.754104821052631,7.6201762207474015,1312304957.58,60.0,11.0
2092,2025,0.0,1.0,0.0225709099531207,44.44444444444444,12.309781798438769,14.534520398049947,34.21,13.526627764935974,11.11111111111111,32.0,9.0,33.33333333333333,1.3075402951892798,25.9088,1.0,3.805462186869765,63.58841100694993,6.191440861889317,25.067390125496058,6.2,-3.768629,49.84,5762777948.262123,-0.047188613372093,-0.3290348221282337,0.0,-18.84,-47505.05308577987,1.0,1.266635704049844,3.814808292090029,1374522381.88,31.0,4.0
2138,2025,0.0,1.0,8.223865475483642,44.44444444444444,13.242366169799023,15.63844564466078,42.0898,14.50865773852422,22.22222222222222,22.22222222222222,9.0,55.55555555555556,9.512450242612664,6.8834,1.0,5.197909805898036,45.278568756092994,2.3789705706165605,23.26534619578465,1.1,-3.884655,54.31578947368421,565728193.229682,0.0434216555944056,19.8687527065078,6.64,16.99,114714.20432279092,0.0,1.157242250460406,6.445058556229377,504750865.69,28.0,8.0
2145,2025,0.0,1.0,2.007188670755166,22.22222222222222,13.421479827481772,15.011975246799889,10.8567,14.153481670709224,33.33333333333333,29.411764705882355,9.0,33.33333333333333,0.9207853595677952,33.4471,1.0,5.499436673754161,37.81390314615412,38.74433797215467,23.69225765194492,5.05,-4.004507,45.91304347826087,1020394220.84596,-0.001507613372093,8.194007685448703,0.01,38.98,125195.26148427116,0.0,1.266635704049844,3.295848664711248,181141912.95,38.0,16.0
2148,2025,0.0,1.0,25.28270856440777,60.0,11.911365958141428,14.069144516276484,4.6519,13.486728674627068,20.0,30.0,5.0,40.0,4.179869158878505,5.35,1.0,0.8806711503944545,10.88729772969371,3.457014491354835,21.05238230825183,2.34,-4.001565,55.6,76283400.49937,0.0111522814814814,10.77329502004183,21.32,6.15,134009.5956521739,0.0,1.0434147799227795,0.7017009316991936,23238186.21,25.0,6.0
2162,2025,0.0,1.0,0.1273051411605234,27.27272727272727,13.74995225776949,15.317608218577709,54.7006,14.467835744003963,18.181818181818183,21.052631578947366,11.0,36.36363636363637,1.803334090878708,37.4015,1.0,2.745855117398088,58.99858320201685,11.352654196025687,21.444963800935565,-12.76,-3.999939,53.63157894736842,44737528.40041,-0.0816664038461538,-7.610534043127008,0.0,-5.79,-186830.60445828145,1.0,1.754104821052631,1.536633657732977,28272245.3,26.0,5.0
2171,2025,0.0,1.0,0.8127887362259216,14.285714285714285,13.597205283290313,15.452330147139593,57.1945,14.46898092137132,14.285714285714285,8.333333333333332,7.0,42.85714285714285,2.1221705674285425,26.2641,1.0,3.717388107372266,57.13160741915759,15.604996742258043,23.67071352762973,13.92,-3.966908,54.41666666666666,210609259.892156,-0.0213835243902439,0.906981438635262,0.0,16.06,37081.02867002064,0.0,1.42488415,4.036917897766068,1149231681.3,60.0,4.0
2188,2025,0.0,1.0,0.0,0.0,11.719397481996468,14.583440482967903,40.9535,13.549589977294008,22.22222222222222,33.33333333333333,9.0,33.33333333333333,1.991840538949572,18.3468,1.0,0.3563759517394962,39.50704279156659,67.04069400126913,20.02908601183256,55.02,-3.639239,47.25,-167353753.815959,0.0337519659090909,4.256777659535407,0.0,6.8,4273.260733830845,0.0,3.4054799130434774,1.8142644753378936,1250719.81,21.0,1.0
2190,2025,0.0,1.0,0.0,0.0,10.950104546085855,14.420809647951025,52.4112,13.398023474628785,11.11111111111111,6.666666666666667,9.0,33.33333333333333,0.2441060561058407,50.1659,1.0,3.309469609846173,39.823927348319046,2.70809653582342,22.314135343489088,-8.19,-4.117742,49.8,113692008.105681,-0.0429574540816326,1.1996371875571066,0.0,13.76,-6627.235925465839,1.0,1.115356340206186,2.186552979434,102559914.15,21.0,3.0
2233,2025,0.0,1.0,0.088320275393314,44.44444444444444,12.170341835574376,14.83211710235152,18.2822,13.723175946761478,0.0,6.666666666666667,9.0,33.33333333333333,6.073800204732943,16.607,1.0,9.143528703099136,11.035398825151576,11.614364766827642,23.32590058211272,0.11,-3.799914,49.13333333333333,959155613.091241,0.0321955961538461,15.672417793711894,0.02,-22.71,310119.0866292765,0.0,1.754104821052631,3.870149347240553,16631820.99,29.0,12.0
2245,2025,0.0,1.0,0.5227166823259793,16.666666666666664,12.42319812451882,14.573039997453488,28.2772,13.774167594429892,16.666666666666664,33.33333333333333,6.0,50.0,1.4379898462906209,12.8229,1.0,2.3218653045517503,35.87698308798738,6.769116914145933,23.149732550140133,2.8,-3.81283,50.3,-73248305.028928,0.0196140063291139,9.703981739556689,0.4,29.38,181010.32241425244,0.0,0.926965465986395,6.606474291980629,415625391.07,12.0,4.0
2255,2025,0.0,1.0,15.31706007131753,55.55555555555556,13.382967852592328,14.61121432684931,8.8607,14.137594057133388,22.22222222222222,25.0,9.0,33.33333333333333,9.338246621385055,2.8562,1.0,2.854530423422898,41.188574228995854,25.177743610467186,22.65828889791184,7.61,-4.114754,52.625,32639716.121466,0.022936321888412,15.172015635885094,11.58,-0.23,279701.5681858407,0.0,1.3317051889400924,0.697499928754104,117394089.69,34.0,6.0
2271,2025,0.0,1.0,25.92151681226925,75.0,12.619836556453032,15.432916640047551,28.1045,14.334304351379442,33.33333333333333,55.55555555555556,12.0,33.33333333333333,4.079297353189365,8.4139,1.0,6.040351684242155,43.38865998802216,16.23440153990882,24.523584889858448,-12.62,-4.001348,52.11111111111112,5765819192.334447,-0.0070764038461538,2.5046899654616057,21.79,-14.52,6904.1906345432935,0.0,1.754104821052631,2.624684357501712,585953332.86,53.0,19.0
2282,2025,0.0,1.0,5.525056444634424,11.11111111111111,12.701733868776392,14.883904160048385,35.7262,13.9108207377686,11.11111111111111,12.5,9.0,33.33333333333333,2.0112109227626944,30.7468,1.0,4.246117165974745,10.714377744025928,15.56043103628909,22.106100474047164,1.77,-4.194608,48.19047619047619,79394751.759456,0.0393375961538461,12.77787269753216,5.52,4.65,110835.80900578036,0.0,1.754104821052631,1.0368722108232231,59010092.65,59.0,2.0
2313,2025,0.0,1.0,0.0013625342834365,0.0,12.760819456354092,14.051767748423869,50.6429,13.932137369895994,12.5,13.333333333333334,8.0,37.5,3.194235087605473,27.7437,1.0,23.822319949573465,98.14324334725804,8.467067376927876,21.92181878959383,-9.26,-3.988723,49.46666666666667,40120509.633124,-0.0717233444055943,-1.1860024142563017,0.0,5.22,-66828.75284715285,1.0,1.157242250460406,1.324556101227271,287758382.56,46.0,0.0
2315,2025,0.0,1.0,48.15748039874058,44.44444444444444,12.354751237901535,15.36719223083741,18.4594,14.298060156378527,22.22222222222222,30.76923076923077,9.0,33.33333333333333,3.017517732938503,11.6168,1.0,5.947982112478612,39.92694926084728,36.91335688186814,22.16288569240779,7.97,-4.275833,51.35714285714285,812420581.937721,0.0961052777777777,26.723760141740883,46.42,9.31,182320.9734081796,0.0,0.6554352962962964,0.4814881177617888,138742218.84,21.0,9.0
2379,2025,0.0,1.0,0.0,0.0,12.680338013984365,14.170804548826077,32.9752,13.58848447938584,14.285714285714285,27.27272727272727,7.0,42.85714285714285,1.412712229558284,22.9763,1.0,10.709716430847598,37.32800398361072,15.62683500830095,21.863381263249725,4.87,-4.106247,46.45454545454545,-16210182.601321,-0.0585265243902439,-2.0901273011183785,0.0,29.73,-45622.87333333334,1.0,1.42488415,0.1402426498240568,52175807.49,18.0,20.0
2393,2025,0.0,1.0,0.1476626734128823,33.33333333333333,13.36287522287963,15.0105233409187,52.2753,14.232311175736184,33.33333333333333,29.411764705882355,9.0,33.33333333333333,0.1866639141205615,50.862,1.0,4.56289156699459,17.03456240099892,28.32937324440602,22.478622665982844,0.08,-4.077585,51.41176470588236,52066259.116248,-0.0019197098976109,12.89927514568163,0.02,15.88,115935.67632793018,0.0,0.8489369783393497,0.9290582312166686,127477849.03,39.0,9.0
2419,2025,0.0,1.0,0.0965433745713622,11.11111111111111,11.98238206962529,14.966620415590135,63.3553,14.253571921775428,11.11111111111111,21.052631578947366,9.0,33.33333333333333,1.42792612871376,44.564,1.0,4.265956169288968,85.49754116877747,8.420380360330482,24.066272014995523,-0.68,-4.636452,48.36363636363637,4878204507.352399,0.0068562043010752,1.3027420045906513,0.0,-2.49,6135.004121428572,0.0,2.1344171363636346,2.043022138039904,92235087.9,48.0,14.0
2455,2025,0.0,1.0,16.947755822423986,33.33333333333333,12.565450184167664,14.91018175739912,0.297,13.835313185260452,0.0,16.666666666666664,9.0,55.55555555555556,6.720963466635935,4.3385,1.0,2.7499100864192267,80.21638295138683,6.641926361857148,23.17948446230688,1.92,-4.010836,53.94444444444444,919752723.88912,-0.038043613372093,2.849447625396653,14.19,35.1,-27611.91948629058,1.0,1.266635704049844,8.25184443214273,138905961.44,18.0,10.0
2536,2025,0.0,1.0,7.043675054392599,22.22222222222222,13.857122640282949,14.504850500181265,34.9042,14.267413860178223,0.0,4.545454545454546,9.0,33.33333333333333,0.6941698994341627,32.3768,1.0,4.321495794840399,37.59617770548123,9.549251350686896,22.39505401985553,5.15,-4.077955,52.0,131414907.06824,0.0206915459183673,6.433982957678371,0.0,15.34,60049.738786710725,0.0,1.115356340206186,5.268549480267692,271886422.02,37.0,4.0
2595,2025,0.0,1.0,0.7991279089081333,66.66666666666666,12.59364530079675,14.747635268140955,19.0758,13.686085010523817,0.0,7.6923076923076925,9.0,33.33333333333333,3.568763488553762,30.2108,1.0,0.9092433204582197,15.34426135071325,10.709480447395828,23.181001152817224,17.8,-4.290733,49.06666666666667,1004132071.880757,0.1415873074712643,25.90398849117483,0.41,22.99,136026.39910091867,0.0,1.1709310868263465,3.186789307856335,467033883.09,12.0,9.0
2611,2025,0.0,1.0,23.566021339189543,50.0,13.866441286632815,15.830160213078896,8.9834,14.624572363120576,25.0,25.0,8.0,50.0,6.240814837183553,7.9476,1.0,7.043534431576044,30.60648959563429,22.966496643835725,22.74197188307496,-0.13,-4.272488,50.5,36561163.263059,0.0408963074712643,14.84870302381198,21.44,0.68,239096.17808764937,0.0,1.1709310868263465,4.757505260339061,105524488.7,56.0,9.0
2675,2025,0.0,1.0,13.13668670437173,40.0,13.881686131257608,15.513929572871108,30.44,14.660820729921326,0.0,23.07692307692308,5.0,40.0,3.5748874245645537,15.1454,1.0,4.59184738195761,37.791913524689534,8.755073224406058,22.87905225733904,6.83,-4.187475,53.46153846153846,-388684878.124234,-0.0176837098976109,10.329142000662882,12.53,-12.42,57280.27933576347,0.0,0.8489369783393497,5.282118902384587,431090434.57,37.0,4.0
2692,2025,0.0,1.0,0.0764751755391999,20.0,13.374899281601916,14.838644705456428,34.3566,14.12181809453922,20.0,27.77777777777778,10.0,30.0,4.703895688079978,18.1149,1.0,3.5041953494842577,63.41297754145124,13.823399446510916,21.87379362189882,16.29,-4.06671,46.388888888888886,5651466.3949,-0.006189993670886,2.6154321366854614,0.0,38.92,92022.87146788993,0.0,0.926965465986395,1.8683021542714668,180029149.76,18.0,1.0
2714,2025,0.0,1.0,40.31205090629561,62.5,14.353247174466931,15.89893167063694,28.3175,15.155289665342696,25.0,26.31578947368421,8.0,37.5,4.860631347177126,12.5351,1.0,0.720856247852143,58.68011914324892,9.033710706327104,25.95783756170986,-3.97,-3.569142,50.89473684210526,16908457935.61762,0.0552609444444444,15.855325547683968,38.19,24.43,141610.0096096287,0.0,3.1416967647058827,6.59782041638375,1747217657.28,32.0,8.0
2760,2025,0.0,1.0,0.0235467706613723,6.666666666666667,12.3092307376328,14.49460952279816,40.6065,13.77468856344402,6.666666666666667,22.727272727272727,15.0,33.33333333333333,1.435139093497803,23.2829,1.0,7.427467265127917,36.08650463784793,25.728205254019304,20.960041962282,-14.71,-4.150613,50.54545454545455,49974017.041881,-0.0754238571428571,-9.954428811546418,0.0,-14.87,-74545.89594362746,1.0,1.5522376263736264,1.7004148634679048,31528584.03,22.0,10.0
2766,2025,0.0,1.0,0.5801613070749666,50.0,12.956167106531868,15.02447090380125,46.158,14.421464526821842,0.0,15.384615384615383,6.0,33.33333333333333,8.738740343446738,15.1581,1.0,24.5735767000894,30.34636282864852,22.661638119307984,20.87031096430153,-9.6,-4.139269,45.333333333333336,-26450463.156523,0.0195266555944056,3.395702072561572,0.21,10.95,83508.48427762039,0.0,1.157242250460406,6.34149871364566,135703526.1,46.0,5.0
2838,2025,0.0,1.0,17.19050083083607,44.44444444444444,12.744110353434548,13.86886173346127,47.3926,13.462258321303043,11.11111111111111,16.666666666666664,9.0,33.33333333333333,0.5922558313160335,44.201,1.0,6.673222992176236,47.96198405495038,7.926620764692209,22.569788892372184,24.37,-4.036495,51.61111111111112,153759216.233416,-0.0134798983050847,3.9294703455654254,0.0,16.65,66584.83709154621,0.0,1.1531525495495494,3.70555896540231,261229902.54,41.0,19.0
2852,2025,0.0,1.0,22.542257242825578,37.5,11.22346403261837,14.20504951552218,24.3806,12.794414711723991,25.0,38.46153846153847,8.0,37.5,5.4036135984088745,11.9161,1.0,9.289121628410015,46.13406469969728,7.151850394400296,22.118568590380164,-15.59,-4.154901,51.69230769230769,15911762.273232,0.0176057846153846,5.647120927824489,21.69,-15.12,155736.42867826085,0.0,2.496959492063491,2.809462750483277,6407973.2,12.0,10.0
2865,2025,0.0,1.0,2.4937657924664287,36.36363636363637,13.234298234641283,15.516323645489503,58.7772,14.521080258522776,27.27272727272727,52.63157894736842,11.0,45.45454545454545,4.2452325666658535,20.4565,1.0,2.581078412632,76.3843690217935,21.480884907789267,23.524164416426714,-10.47,-3.942186,49.578947368421055,435819107.621052,-0.064322993670886,-5.582980911135445,2.31,-46.66,-186883.7448877648,1.0,0.926965465986395,2.69499452220009,198720390.46,45.0,15.0
2879,2025,0.0,1.0,38.12052484912306,44.44444444444444,12.017934203414654,14.93751379942296,12.1181,13.725038654800198,0.0,16.666666666666664,9.0,33.33333333333333,5.173477672530447,8.868,1.0,4.830725676532521,25.47819735035346,19.44762481315874,21.66672551748024,10.74,-4.215758,57.083333333333336,175746192.625542,0.0036450063291139,6.96590859752459,0.37,19.18,48239.67254833041,0.0,0.926965465986395,2.900507613872451,92848750.78,43.0,3.0
2916,2025,0.0,1.0,0.3439537003236825,22.22222222222222,13.15095083425624,15.586182574861844,82.3024,14.875867001177852,0.0,11.76470588235294,9.0,33.33333333333333,0.2394229461450795,63.9663,1.0,3.0104612456979285,42.116204225625744,6.139054387107716,23.95415907713073,11.92,-4.65212,48.85,-295565736.509287,0.0428826555944056,11.560129387522313,0.11,32.39,108533.92079838245,0.0,1.157242250460406,9.98512410392878,1272224103.81,17.0,11.0
2920,2025,0.0,1.0,0.0450527110927323,16.666666666666664,14.719344019236075,16.560843698512524,81.9782,15.463861443896972,0.0,5.263157894736842,12.0,25.0,4.936704925619368,28.3071,1.0,5.096705552181746,54.54362738961882,3.60891948483055,23.790542921979185,19.26,-4.593044,50.21052631578947,707490410.43082,0.0625686555944056,8.172718937326104,0.0,26.06,214597.1494310932,0.0,1.157242250460406,6.879101136966372,2191848579.05,36.0,9.0
2978,2025,0.0,1.0,33.910833938902826,14.285714285714285,13.582513060040675,15.098941283624926,43.5033,14.347197072397591,28.57142857142857,41.17647058823529,7.0,42.85714285714285,1.6249775911685616,42.394,1.0,8.458182739085608,13.73557187312833,40.22667512788245,22.973946761858084,33.09,-4.343058,44.76470588235294,-1228995007.753307,0.0244843333333333,53.18753646619374,33.92,0.06,459166.5675997843,0.0,1.1717570384615386,11.08536892466526,60175433.39,13.0,4.0
